image                  class       codec           quality       bytes   y_psnr_db      ssim
edge_prime_dims        screenshot  deepteams/webp  75             2938     23.6364    0.9892
edge_prime_dims        screenshot  deepteams/webp  82             3652     23.7828    0.9912
edge_prime_dims        screenshot  deepteams/webp  90             4480     24.0214    0.9916
edge_prime_dims        screenshot  deepteams/webp  95             5054     24.0235    0.9919
edge_small_64          photo       deepteams/webp  75              446     32.5535    0.8856
edge_small_64          photo       deepteams/webp  82              646     33.7606    0.9257
edge_small_64          photo       deepteams/webp  90             1126     35.3471    0.9661
edge_small_64          photo       deepteams/webp  95             1644     36.2434    0.9816
flatart_logo_blocks    flat        deepteams/webp  75             1022     24.5276    0.9969
flatart_logo_blocks    flat        deepteams/webp  82             1064     24.5326    0.9972
flatart_logo_blocks    flat        deepteams/webp  90             1174     24.5324    0.9974
flatart_logo_blocks    flat        deepteams/webp  95             1240     24.5302    0.9974
flatart_quadrant       flat        deepteams/webp  75             1984     24.8629    0.9979
flatart_quadrant       flat        deepteams/webp  82             2016     24.8631    0.9980
flatart_quadrant       flat        deepteams/webp  90             2098     24.8625    0.9980
flatart_quadrant       flat        deepteams/webp  95             2214     24.8619    0.9980
photo_gradient_wide    photo       deepteams/webp  75             9600     32.5091    0.8325
photo_gradient_wide    photo       deepteams/webp  82            15062     32.5379    0.8370
photo_gradient_wide    photo       deepteams/webp  90            63288     32.8867    0.8797
photo_gradient_wide    photo       deepteams/webp  95           215314     33.8590    0.9704
photo_noise_detail     photo       deepteams/webp  75            10580     34.7354    0.8327
photo_noise_detail     photo       deepteams/webp  82            16048     34.8054    0.8369
photo_noise_detail     photo       deepteams/webp  90            67778     35.4217    0.8800
photo_noise_detail     photo       deepteams/webp  95           230166     37.3624    0.9706
photo_texture_detail   photo       deepteams/webp  75             8320     33.2135    0.8326
photo_texture_detail   photo       deepteams/webp  82            12418     33.2601    0.8368
photo_texture_detail   photo       deepteams/webp  90            53072     33.6784    0.8807
photo_texture_detail   photo       deepteams/webp  95           177374     34.8741    0.9707
screenshot_dashboard   screenshot  deepteams/webp  75             3938     23.0968    0.9947
screenshot_dashboard   screenshot  deepteams/webp  82             4534     23.1954    0.9950
screenshot_dashboard   screenshot  deepteams/webp  90             5182     23.5319    0.9955
screenshot_dashboard   screenshot  deepteams/webp  95             5696     23.5325    0.9955
screenshot_panel_grid  screenshot  deepteams/webp  75             6788     24.0836    0.9939
screenshot_panel_grid  screenshot  deepteams/webp  82             7986     24.1041    0.9948
screenshot_panel_grid  screenshot  deepteams/webp  90             9804     24.4999    0.9954
screenshot_panel_grid  screenshot  deepteams/webp  95            11204     24.4998    0.9956
