image                  class       codec  quality       bytes   y_psnr_db      ssim
edge_prime_dims        screenshot  jpeg   75            15186     45.3595    0.9974
edge_prime_dims        screenshot  jpeg   82            16690     46.5869    0.9981
edge_prime_dims        screenshot  jpeg   90            19624     47.8626    0.9989
edge_small_64          photo       jpeg   75             1214     37.6948    0.9551
edge_small_64          photo       jpeg   82             1342     38.2336    0.9603
edge_small_64          photo       jpeg   90             1737     39.4479    0.9706
flatart_logo_blocks    flat        jpeg   75             9591     52.1043    0.9994
flatart_logo_blocks    flat        jpeg   82            10234     52.8322    0.9997
flatart_logo_blocks    flat        jpeg   90            11300     52.7446    0.9998
flatart_quadrant       flat        jpeg   75            18961     60.1236    0.9999
flatart_quadrant       flat        jpeg   82            19431     60.0306    0.9999
flatart_quadrant       flat        jpeg   90            20347     61.9955    1.0000
photo_gradient_wide    photo       jpeg   75            70533     38.0421    0.8688
photo_gradient_wide    photo       jpeg   82            97439     38.4667    0.8822
photo_gradient_wide    photo       jpeg   90           173148     39.5528    0.9122
photo_noise_detail     photo       jpeg   75            75374     38.0491    0.8689
photo_noise_detail     photo       jpeg   82           104133     38.4779    0.8824
photo_noise_detail     photo       jpeg   90           185158     39.5595    0.9122
photo_texture_detail   photo       jpeg   75            58211     38.0397    0.8693
photo_texture_detail   photo       jpeg   82            80558     38.4692    0.8828
photo_texture_detail   photo       jpeg   90           142950     39.5558    0.9127
screenshot_dashboard   screenshot  jpeg   75            25878     47.0753    0.9993
screenshot_dashboard   screenshot  jpeg   82            27330     47.6764    0.9995
screenshot_dashboard   screenshot  jpeg   90            30236     48.2991    0.9997
screenshot_panel_grid  screenshot  jpeg   75            32383     46.6443    0.9984
screenshot_panel_grid  screenshot  jpeg   82            35415     47.6701    0.9988
screenshot_panel_grid  screenshot  jpeg   90            41595     48.6563    0.9993
