# image quality method bytes sha256
edge_prime_dims 10 0 2492 0290a30884965614ebf8c62ef98462fa2c8cf22ba6198de8ce5cebeedc06b627
edge_prime_dims 10 4 2492 0290a30884965614ebf8c62ef98462fa2c8cf22ba6198de8ce5cebeedc06b627
edge_prime_dims 10 6 1206 9f6d7590c0c9b2d6508ef9b5616c060b210302eed17f73743b0382210e74322e
edge_prime_dims 50 0 4956 ef85b7dfeaa1df511f28f80494fbba8c35565087500827d3b5bc28b744c63f7c
edge_prime_dims 50 4 4956 ef85b7dfeaa1df511f28f80494fbba8c35565087500827d3b5bc28b744c63f7c
edge_prime_dims 50 6 1824 fa8c4923d3ee26118768c7484d7936bbe556b7fed2534d7694df4df10b6799ce
edge_prime_dims 75 0 5592 6d5cdd38ff922998caf4a8d6a065d6989434e8f770204f19c3b997637e89e064
edge_prime_dims 75 4 5592 6d5cdd38ff922998caf4a8d6a065d6989434e8f770204f19c3b997637e89e064
edge_prime_dims 75 6 2010 1bccefb2b5bc4c62c86fd81bfbd13c6fdadfc7e46dd5752df11ecfb500930941
edge_prime_dims 90 0 9354 66c7a2a35fbc125afd4c71fef1073375aada19afa9f51e73dd11bb2cf509cb17
edge_prime_dims 90 4 9354 66c7a2a35fbc125afd4c71fef1073375aada19afa9f51e73dd11bb2cf509cb17
edge_prime_dims 90 6 2988 fded8fd021c9463aab2cfc2ffc40fd45480445b683a826c28de8c310f9986d2c
edge_prime_dims 100 0 14782 8abd1868df048d3fe1973de97d0e839c6b92f25ea353bf067151e7f8ec8d712c
edge_prime_dims 100 4 14782 8abd1868df048d3fe1973de97d0e839c6b92f25ea353bf067151e7f8ec8d712c
edge_prime_dims 100 6 4588 4607c5a13bbb16ad848b355512326a6e5a77a892cc5d8df840ff7633cc09ca94
edge_small_64 10 0 224 a4f86d635551fc6b2f957c2bdda46e00d67ac841436635caa1a332fb12563f44
edge_small_64 10 4 224 a4f86d635551fc6b2f957c2bdda46e00d67ac841436635caa1a332fb12563f44
edge_small_64 10 6 166 cda7903574e480abcbc23829ce57ccfeea614e463cbf53eb684a77251c7b972d
edge_small_64 50 0 524 f4de2fed53a6a1baabe5d4e91bc4b7480fc97967cb5e1c676765c3490848c5c9
edge_small_64 50 4 524 f4de2fed53a6a1baabe5d4e91bc4b7480fc97967cb5e1c676765c3490848c5c9
edge_small_64 50 6 216 cc3ecc1f2d42acec18aa0227af289e7180ec3b5f6926e40a1c732a06a6487e89
edge_small_64 75 0 620 b3e2ede648fd9e8a1ef5422d76b113f0d5f311bc37f25537dace0da584d2e82d
edge_small_64 75 4 620 b3e2ede648fd9e8a1ef5422d76b113f0d5f311bc37f25537dace0da584d2e82d
edge_small_64 75 6 256 15083c11c9144dee8307458b28a239daab190c577e43111cb4325c8df4c548f4
edge_small_64 90 0 1780 9a9f8d04a5e64f31d6fb7e46126b25e1f1b9681f944e9625a889954d8134b27a
edge_small_64 90 4 1780 9a9f8d04a5e64f31d6fb7e46126b25e1f1b9681f944e9625a889954d8134b27a
edge_small_64 90 6 354 578acbb2dd42711ed18f5e8ad3abbb002818c75afbc3075c806d93d07f023c6f
edge_small_64 100 0 3838 7911714104a1b0847c369df3a41ca572366853916c52a0727c8f6b6b9c4d8f2b
edge_small_64 100 4 3838 7911714104a1b0847c369df3a41ca572366853916c52a0727c8f6b6b9c4d8f2b
edge_small_64 100 6 722 245b76a9c7aa95ab1a4136b262ab036f0be9a453b3ed13d0ea3705e439da4314
flatart_logo_blocks 10 0 964 1e8cdb4a9c0f5cfd411c590b7941009120c2c5a98a97dd5b77015b6aaeaa869a
flatart_logo_blocks 10 4 964 1e8cdb4a9c0f5cfd411c590b7941009120c2c5a98a97dd5b77015b6aaeaa869a
flatart_logo_blocks 10 6 892 9464ffdf6bccb03a5a01fb24c0d80c3eee670b61ead808b9756bfb6424232bcf
flatart_logo_blocks 50 0 1308 4373d8ff3f43d2f4ddc1b5facc09ef5c0c79c804b6995c7066f708dd920ffe83
flatart_logo_blocks 50 4 1308 4373d8ff3f43d2f4ddc1b5facc09ef5c0c79c804b6995c7066f708dd920ffe83
flatart_logo_blocks 50 6 1120 16d069202df10594d38def17c7484b99f5bbae52c131492e640a2da6187eb2f7
flatart_logo_blocks 75 0 1378 98d505be9828b3441ac67829a9f1d087c1335670c74cb6a3f76019d51ed6be44
flatart_logo_blocks 75 4 1378 98d505be9828b3441ac67829a9f1d087c1335670c74cb6a3f76019d51ed6be44
flatart_logo_blocks 75 6 1086 751166eddac3f352fb4611d2d98fb3eab5e4135e37bea033ff0f6aa5669de73a
flatart_logo_blocks 90 0 1856 ae4ced8866e15144c5f294ac3c437e082a56d6a7f6c3aa656d061e90697d99d5
flatart_logo_blocks 90 4 1856 ae4ced8866e15144c5f294ac3c437e082a56d6a7f6c3aa656d061e90697d99d5
flatart_logo_blocks 90 6 1278 70372f6e2a45c16d0641b64ce16fd20ddb29ba88f0fd98e57d1edd205f5c1e64
flatart_logo_blocks 100 0 2578 c8a062066e8e4d64c74f9991d36b1ac04b63a204b43fea5a70ef9820d2fb4612
flatart_logo_blocks 100 4 2578 c8a062066e8e4d64c74f9991d36b1ac04b63a204b43fea5a70ef9820d2fb4612
flatart_logo_blocks 100 6 1496 9bc9db197be99e400da07b7a1e5b0d96a517ae931ef6b71f102d0b81a90207a2
flatart_quadrant 10 0 1948 f954ee83bf17d06d52783bf738da59d64c9ccd64bc6e63adbcd352e47514f747
flatart_quadrant 10 4 1948 f954ee83bf17d06d52783bf738da59d64c9ccd64bc6e63adbcd352e47514f747
flatart_quadrant 10 6 1918 251cf6a0367bb384940229f1efbec9617dccde6fb669913d8b8778f9a5aaff8d
flatart_quadrant 50 0 2192 e5be957f2d9040c5323bd9a499d555544c6d990f0eababeb5586e483854319d0
